Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,37.500000,37.599998,35.200001,35.349998,35.349998,868325
2019-08-26,35.500000,36.000000,33.599998,33.750000,33.750000,655533
2019-08-27,33.700001,33.900002,32.549999,32.950001,32.950001,2271152
2019-08-28,33.750000,34.700001,32.549999,34.549999,34.549999,965426
2019-08-29,33.799999,34.599998,31.000000,31.500000,31.500000,1382951
2019-08-30,32.250000,34.000000,31.100000,32.599998,32.599998,1056648
2019-09-02,33.000000,35.849998,33.000000,35.450001,35.450001,363783
2019-09-03,33.500000,33.500000,29.150000,30.450001,30.450001,2760909
2019-09-04,31.000000,32.900002,30.200001,31.600000,31.600000,2036871
2019-09-05,32.700001,38.599998,32.700001,38.299999,38.299999,1775965
2019-09-06,38.700001,40.000000,37.500000,39.200001,39.200001,1521173
2019-09-09,40.000000,40.000000,37.500000,38.099998,38.099998,657338
2019-09-10,38.099998,40.500000,38.099998,40.400002,40.400002,1150232
2019-09-11,40.400002,41.900002,39.500000,41.250000,41.250000,932515
2019-09-12,41.000000,42.500000,40.000000,42.450001,42.450001,484301
2019-09-13,41.000000,43.900002,41.000000,43.049999,43.049999,782561
2019-09-16,42.299999,46.500000,42.299999,45.500000,45.500000,778406
2019-09-17,45.500000,45.950001,42.549999,44.750000,44.750000,460543
2019-09-18,45.500000,45.500000,43.700001,44.250000,44.250000,386646
2019-09-19,45.000000,45.000000,42.250000,44.799999,44.799999,462782
2019-09-20,44.900002,45.000000,43.200001,44.049999,44.049999,274534
2019-09-23,43.500000,43.599998,41.200001,42.549999,42.549999,615214
2019-09-24,41.400002,42.400002,40.500000,40.799999,40.799999,502816
2019-09-25,40.200001,41.799999,38.500000,41.349998,41.349998,360878
2019-09-26,41.500000,42.700001,40.349998,41.000000,41.000000,388808
2019-09-27,41.000000,43.000000,40.599998,42.549999,42.549999,768367
2019-09-30,42.700001,44.200001,41.599998,44.049999,44.049999,615866
2019-10-01,44.400002,46.500000,44.400002,46.150002,46.150002,882603
2019-10-02,45.500000,47.200001,45.200001,47.099998,47.099998,850248
2019-10-03,47.200001,47.900002,46.500000,47.000000,47.000000,464138
2019-10-04,48.000000,50.250000,47.099998,50.049999,50.049999,1369996
2019-10-07,50.000000,52.000000,47.000000,47.200001,47.200001,783583
2019-10-08,47.000000,47.000000,45.000000,45.099998,45.099998,1211125
2019-10-09,45.200001,45.650002,43.150002,44.299999,44.299999,1279174
2019-10-10,44.349998,47.000000,44.349998,46.650002,46.650002,869171
2019-10-11,47.299999,48.849998,46.750000,46.799999,46.799999,1285713
2019-10-15,46.650002,47.000000,45.650002,46.099998,46.099998,1027413
2019-10-16,46.200001,46.200001,44.299999,44.549999,44.549999,717820
2019-10-17,44.549999,46.500000,44.349998,46.200001,46.200001,479050
2019-10-18,46.349998,46.900002,45.000000,45.500000,45.500000,991143
2019-10-21,44.900002,47.500000,44.500000,47.250000,47.250000,1850284
2019-10-22,47.000000,49.599998,45.799999,48.500000,48.500000,1357113
2019-10-23,48.500000,48.549999,45.200001,47.099998,47.099998,1631707
2019-10-24,46.950001,48.200001,46.049999,48.099998,48.099998,827147
2019-10-25,48.000000,51.750000,46.549999,49.450001,49.450001,2776598
2019-10-28,49.500000,54.400002,46.299999,47.400002,47.400002,1269264
2019-10-29,47.500000,48.049999,45.000000,45.549999,45.549999,909543
2019-10-30,45.549999,48.450001,45.400002,48.150002,48.150002,537392
2019-10-31,48.200001,50.000000,48.200001,50.000000,50.000000,504797
2019-11-01,51.000000,51.049999,49.450001,50.349998,50.349998,484817
2019-11-04,50.500000,53.000000,50.500000,52.849998,52.849998,971049
2019-11-05,53.000000,53.900002,51.500000,52.049999,52.049999,588258
2019-11-06,51.849998,52.599998,49.000000,49.400002,49.400002,271284
2019-11-07,49.400002,50.500000,48.650002,49.200001,49.200001,649024
2019-11-08,49.250000,50.500000,43.700001,44.549999,44.549999,2303383
2019-11-11,44.650002,45.650002,41.700001,42.000000,42.000000,1202762
2019-11-12,42.049999,42.950001,39.599998,42.900002,42.900002,1858121
2019-11-13,42.799999,43.099998,40.400002,40.750000,40.750000,1694309
2019-11-14,41.150002,41.750000,38.250000,38.799999,38.799999,1331148
2019-11-15,40.000000,41.000000,37.799999,40.099998,40.099998,595177
2019-11-19,40.000000,40.650002,38.299999,40.200001,40.200001,642652
2019-11-20,41.950001,41.950001,40.000000,40.650002,40.650002,1951392
2019-11-21,41.500000,42.000000,39.500000,39.799999,39.799999,1175198
2019-11-22,40.000000,41.150002,39.950001,40.549999,40.549999,1740259
2019-11-25,41.000000,42.299999,40.000000,40.099998,40.099998,706950
2019-11-26,40.500000,40.650002,37.299999,37.700001,37.700001,1377809
2019-11-27,38.250000,40.500000,37.849998,40.400002,40.400002,727828
2019-11-28,40.950001,41.500000,40.299999,40.950001,40.950001,268633
2019-11-29,41.000000,41.349998,40.500000,41.250000,41.250000,428753
2019-12-02,41.299999,41.500000,40.000000,40.450001,40.450001,598644
2019-12-03,40.000000,40.000000,38.700001,39.000000,39.000000,1393626
2019-12-04,39.500000,42.250000,39.400002,42.200001,42.200001,1135384
2019-12-05,42.250000,42.799999,41.049999,42.750000,42.750000,1491593
2019-12-06,43.450001,44.500000,42.650002,44.099998,44.099998,1553258
2019-12-09,44.349998,46.599998,44.349998,44.849998,44.849998,1834425
2019-12-10,45.200001,45.849998,42.200001,42.450001,42.450001,1113961
2019-12-11,42.599998,42.599998,40.599998,42.150002,42.150002,1069702
2019-12-12,42.500000,43.500000,40.000000,41.750000,41.750000,1945251
2019-12-13,42.000000,46.200001,41.849998,44.750000,44.750000,2053127
2019-12-16,45.000000,46.849998,45.000000,46.750000,46.750000,1224947
2019-12-17,46.750000,46.750000,42.799999,44.799999,44.799999,1474632
2019-12-18,45.150002,47.650002,44.799999,45.599998,45.599998,1837478
2019-12-19,46.000000,47.599998,44.950001,45.400002,45.400002,2536753
2019-12-20,45.400002,46.299999,44.599998,45.900002,45.900002,997711
